,0
100,0J6mQxEZnlRt9ymzFntA6z
101,08mG3Y1vljYA6bvDt4Wqkj
102,2zYzyRzz6pRmhPzyfMEC8s
103,57bgtoPSgt236HzfBOd8kj
104,0XIvZ82aDF7JiSi3ZE320u
105,5EWPGh7jbTNO2wakv8LjUI
106,5y788ya4NvwhBznoDIcXwK
107,6zC0mpGYwbNTpk9SKwh08f
108,0pNeVovbiZHkulpGeOx1Gj
109,7pKfPomDEeI4TPT6EOYjn9
110,1ybmdo2pG61usgZYj8LIrn
111,0vZGruXhjcPQUB2nTmUfq4
112,0vg4WnUWvze6pBOJDTq99k
113,5fVZC9GiM4e8vu99W0Xf6J
114,4IoYz8XqqdowINzfRrFnhi
115,48s0QHJgmiNsth3WEO6U4M
116,5XRHGXut00SrJUFmcn2lQF
117,3LlAyCYU26dvFZBDUIMb7a
118,3NLrRZoMF0Lx6zTlYqeIo4
119,1VdZ0vKfR5jneCmWIUAMxK
120,6lanRgr6wXibZr8KgzXxBl
121,5QpaGzWp0hwB5faV8dkbAz
122,6Qyc6fS4DsZjB2mRW9DsQs
123,0nnwn7LWHCAu09jfuH1xTA
124,7cpCU3Denug5NGZsSpQl8v
125,3fl78noR9kt12JYKuTAP4a
126,7FCfMXYTIiQ9b4hDYs4Iol
127,0tBbt8CrmxbjRP0pueQkyU
128,1j4kHkkpqZRBwE0A4CN4Yv
129,6bpBsotzL05UzS1rHsIqk8
130,514rhnksEwHUh6LxXsQ4Y9
131,6iWwfN1euztxZi1OK38HbU
132,5mQNY6pTeSDl2doFB7uLbE
133,79Mjfhh393dZdAsTvUFDR6
134,7AJ6YMAAKCnYRkt67caC9T
135,4gs07VlJST4bdxGbBsXVue
136,7hR5toSPEgwFZ78jfHdANM
137,3bH4HzoZZFq8UpZmI2AMgV
138,6FRLCMO5TUHTexlWo8ym1W
139,69kOkLUCkxIZYexIgSG8rq
140,7ER7vcy7u2ajg5IV45WBFw
141,57iDDD9N9tTWe75x6qhStw
142,6YycppSAeGtSvwmu8qCcr2
143,78DwRIo6Vj6wqteyerGetr
144,2dhJM2skHC9D41gHj34Kgw
145,3lbtAQu0xBhbVXwgmxj9zy
146,5xEM5hIgJ1jjgcEBfpkt2F
147,6sqNctd7MlJoKDOxPVCAvU
148,0DAsxISzun85PbsqAfIzeC
149,106XkdSFSXYNhzXRSEFc1m
150,5GorCbAP4aL0EJ16frG2hd
151,64yrDBpcdwEdNY9loyEGbX
152,48UPSzbZjgc449aqz8bxox
153,3ZffCQKLFLUvYM59XKLbVm
154,60a0Rd6pjrkxjPbaKzXjfq
155,57BrRMwf9LrcmuOsyGilwr
156,77TT8Xvx637TpzV8kKGkUw
157,1JLn8RhQzHz3qDqsChcmBl
158,4JGKZS7h4Qa16gOU3oNETV
159,1AWXiUQjoQfcmqaBEtaOoL
160,2IZZqH4K02UIYg5EohpNHF
161,0gEyKnHvgkrkBM6fbeHdwK
162,4oGuHZ966kmCmt3DRVxjXw
163,63I1WTV8FKkL9F1V1mrUHN
164,3L7OfyjjS64ZQYsV7JAII5
165,0vCTQcxSGAgjHaiAsIANKn
166,3DamFFqW32WihKkTVlwTYQ
167,4jKa7EZaP8UaEBp2ijfzk6
168,3vbgu3pEWyazJ7FSvG7uCe
169,2uUhkLdatExREVgfEo87IR
170,3L6OUbIr7Oq1HEWDjQV6NP
171,3JIpozIEB9SRBkTEjevpCg
172,2sXp9Qmvc7mRaDBjBgcGGi
173,66ZB6zO1DN6NZHMoQG7f2T
174,5x2Sk2NUsatM0kIh7boKwP
175,0GONea6G2XdnHWjNZd6zt3
176,6eBK3edMW7bEzecF1eCezc
177,4kbz7rHVbyjKasuuqelccQ
178,5kj1AhJxSUums4ddBEaMhT
179,4CqbJHZ6JtVM3MLh41y7JI
180,5JtPGzRgrWxkXX9LoROq3d
181,0PDUDa38GO8lMxLCRc4lL1
182,1Jj6MF0xDOMA3Ut2Z368Bx
183,1gVgkQFOKa8Wc1HYsJtPdH
184,751gBcu62kORDelX7FV0mM
185,36dRGk4xB4VlCdaB0eagnH
186,3US6iSyLP2uS07gjjU2ZkG
187,7BpcWdB4AfrrcopqQciFNH
188,0ll8uFnc0nANY35E0Lfxvg
189,7uhGHDIJCKP5mbC0WidMAS
190,4MhTFsyqIJnjsOweVcU8ug
191,7e89621JPkKaeDSTQ3avtg
192,28ifPHns96vaSFxC47C57t
193,390AWnOn2rfe9FzQjYmxIH
194,0RHZvKdk4rHKyl2Ijltoub
195,4o0NjemqhmsYLIMwlcosvW
196,11EX5yhxr9Ihl3IN1asrfK
197,5jafMI8FLibnjkYTZ33m0c
198,6b2oQwSGFkzsMtQruIWm2p
199,7w87IxuO7BDcJ3YUqCyMTT
200,2TVxnKdb3tqe1nhQWwwZCO
201,6GmUVqe73u5YRfUUynZK6I
202,3hrM7APZ0psNBceMvqOQ8O
203,4qgZs0RNjdzKAS22lP0QjY
204,1VuBmEauSZywQVtqbxNqka
205,7saeg1XSIx0RhNMHY5km2e
206,1HfVdg6TNKHtpsMPc07HTO
207,1EL8X3XUO27bksrv9cLvXE
208,2dBwB667LHQkLhdYlwLUZK
209,0mt02gJ425Xjm7c3jYkOBn
210,0lP4HYLmvowOKdsQ7CVkuq
211,7h2yhVxcZOGyQdOwD4Hu8J
212,7tFiyTwD0nx5a1eklYtX2J
213,7x8dCjCr0x6x2lXKujYD34
214,4TTjGJxy9lR9w2yc2RfPFS
215,4CUCKAg4VLCkEuVQxJWJC3
216,2aibwv5hGXSgw7Yru8IYTO
217,1G391cbiT3v3Cywg8T7DM1
218,0GRvnYqlnh7ttq9NS6s3Ta
219,6IvfeQJb680VY5f88udEv3
220,0z1b34WikhOH9ZxU8QDWcv
221,6dHrWj35HXTGvlCasE5VAA
222,1JY6B9ILvmRla2IKKRZvnH
223,2lQFc312TSd7oToBE8Btl1
224,5SrwLQRUlqlfKv4K3wRs39
225,0oInDc8Q0nc8I6mKIliCfk
226,3AraBEre6TrHoClhG3EqCE
227,28eTONaWJyd0Jbnkb7xaDO
228,1Aj0zAi4xfKv0QGSaoWFnS
229,1ixphys4A3NEXp6MDScfih
230,1laOpxVjlfYqIMdDEDsuFf
231,3CRDbSIZ4r5MsZ0YwxuEkn
232,4CrqG0E8SRaLm9yasLFB4x
233,33xWFHznOMhvrRycTP2txp
234,4dvPtTmWeV3OzL0I73Imc0
235,56bIS0cm4jbeT0razOOb3u
236,2l20UdNQnErIHAofdagVh4
237,5H8lr4az4Vo3LloH67yVRt
238,6f49kbOuQSOsStBpyGvQfA
239,5YScXJKtefsgdskIy60N7A
240,43Bg5bwZ4AFhiaCTrq7I9m
241,6wZJsut8fjiWiMPaccRAOX
242,4ye8U0982eHtlhlvePpxtP
243,0R8P9KfGJCDULmlEoBagcO
244,75fuzn623bYyKISKlFHdCw
245,38xWaVFKaxZlMFvzNff2aW
246,7vFv0yFGMJW3qVXbAd9BK9
247,60bHmpZIWAnSjgtO1lJtr2
248,3mMN8rHE21NfjgyRIFx7xu
249,1X3T2J7S1s6aCIbmjFf2NG
250,4vVYQush4x6fPcISEXhvu0
251,6LoQHIo74tOzQ8EsLEkhgF
252,2ixrCwnrSfmUruH61rFVPC
253,3FTRSa9mWB3kKx2jkhUAN3
254,0hTMUZ7vuxVLzihQDNV0b3
255,2qgXrzJsry4KgYoJCpuaul
256,1JX6c1rTwh6SoyHiDGXQcd
257,1HNywa8Bk0TmzRwQrzhtPo
258,0oiCeOPwm4zhwfyIpAE37y
259,67mmy7Mhim6DmeFHHoqptH
260,5L79aNYCTKiZq7vaOElXYj
261,2VxeLyX666F8uXCJ0dZF8B
262,0gPW9v2NYGnWzhz5I06ajD
263,65wnZsZLKJimfK1cTFOfa1
264,2FrYyDemG5M15U4qFO0ezK
265,2U8g9wVcUu9wsg6i7sFSv8
266,2EM2vuV1jMHPQZ9SUJSB39
267,4JQxGJ8jsKW8pOUVoAgOZr
268,06GcodDliPWAYFX2LSFLIu
269,4s7Zym0G4Hb6apPL3dOqmV
270,25nEgDYRKDVZeq95Eo5qCH
271,7clUVcSOtkNWa58Gw5RfD4
272,0FDzzruyVECATHXKHFs9eJ
273,4LtSTc3xANVhYeeN69nscM
274,6ZmtxXUXRVjxOhugKkmerC
275,5VSJ9OfZx8V91A7u8Fuoh1
276,31L9yLXSj6LpCFupyMV6CR
277,75JFxkI2RXiU7L9VXzMkle
278,2nvC4i2aMo4CzRjRflysah
279,1ZqHjApl3pfzwjweTfMi0g
280,23khhseCLQqVMCIT1WMAns
281,7fJFDK6XjYsXcMKNHESbot
282,6uJwPeBGb3swi85TSr9iIz
283,6V6goat94tTJOWXXKZstNX
284,2bS2ADg123NZWfTUsjra8a
285,3NZJlJemX3mzjf56MqC5ML
286,77yuzxCS3csrgTPSW0pvyk
287,4M75a1sblkwmeD9pfgxE1v
288,5s9ZfQasBGM8YLNAhXx7or
289,7COXchtUOMd6uIT6HvmRaI
290,7LVHVU3tWfcxj5aiPFEW4Q
291,5pbajJXEPdcoXQPXoAVR1t
292,1mea3bSkSGXuIRvnydlB5b
293,2MVkl3KedQAwn7QPg3FHHK
294,2BOqDYLOJBiMOXShCV1neZ
295,7bRdgoVxY11MCbGBt69plO
296,6T3nXjGX5dEbBesG68QZRZ
297,5qfZRNjt2TkHEL12r3sDEU
298,0HLWvLKQWpFdPhgk6ym58n
299,2EKxmYmUdAVXlaHCnnW13o
300,4llK75pXNWZz6KAho2Gp16
301,1NhPKVLsHhFUHIOZ32QnS2
302,3lyLqIn8mybyEFTs8JJaLf
303,7F02x6EKYIQV3VcTaTm7oN
304,4bHsxqR3GMrXTxEPLuK5ue
305,78lgmZwycJ3nzsdgmPPGNx
306,0ylPYJtAJmAMr9jdPQ3cF7
307,6KuHjfXHkfnIjdmcIvt9r0
308,43v2xg67VkZVCIDZsKZSPh
309,4Y0TtDriFlN3XZoQx6PYsu
310,57uX2vR9j9DNiANDYfXw1i
311,5hkdfA87RZvNaxl6XiveOA
312,6c6W25YoDGjTq3qSPOga5t
313,7r6xGsyES2DTacyP6O585i
314,42nkVBjWYVhiijbof5zySm
315,5hc71nKsUgtwQ3z52KEKQk
316,3aw3zFHjRF34kVRRYBT8eC
317,0XuhnKzXpHQYvCjycNVVdt
318,0yzCI916ICgVdvPthX944U
319,5BpmwiKR6ns1EtfCQRpNUc
320,3xMMC5hQxEudzBwFxlVov5
321,3CmHvyZQQAGkKkTjTBFWN6
322,1hcxPfgCxEFVlKCq04VCsQ
323,6kohdZZW6TAlinEMm5EjKf
324,3KkXRkHbMCARz0aVfEt68P
325,723xQva0yBF7M6K3nDAG8R
326,1M3fgZwZNwwo23WZIoFmcJ
327,31AkH0lXADAXLTodvA8XJv
328,1wjzFQodRWrPcQ0AnYnvQ9
329,1r1fPuhj9H4VdXr7OK6FL5
330,2aGSD5ALsZW913FF4shqwX
331,7GaXAknKJeuzXm5LVI4Qjd
332,21jGcNKet2qwijlDFuPiPb
333,4TbNLKRLKlxZDlS0pu7Lsy
334,2lFlveK1y13WWp3vnQtrr3
335,7EEpVPYeW8Ycaw2SlP1u7f
336,4nUrNul2oNVra6YAjigenk
337,4jLv3tDBu8ww2R07DvL12s
338,2w3eXFL86RgxGtDr8bzwgK
339,3l80ChsWwZKAog5KSmcdIG
340,0ZHILXmUaVSLEOCWxPQ1ga
341,0Dmao2oWlAZzIBX2Q1B5AH
342,43z6scIZU2QcEieMQFAJRG
343,7k5EcszNwUturoU20TTy1G
344,6wpGqhRvJGNNXwWlPmkMyO
345,2KDR0VRWbQ88LQ1cdi8T3z
346,3Gc4zbfvgZSBEfpd0aWEFb
347,3HVWdVOQ0ZA45FuZGSfvns
348,6IskNuvBwK8YzFrjvXIp5h
349,1i3z3GR1JtLswOSJNO0BQw
350,5w0Xpt2YHT2Y3z3e4UUJP7
351,1HQAvqPT5ybjUQMWTU2tGf
352,1PZvIM4mUQFOZKVGDYkz5T
353,6j6bTAiW0oEfLlAjmRNcbb
354,31AOj9sFz2gM0O3hMARRBx
355,1ggjVroSMZK4UQOy0QSCsq
356,1gEHNfJRSXpDVaEicwRRfe
357,6dGnYIeXmHdcikdzNNDMm2
358,1zng9uqqXoPkmU05nsAlsw
359,3Dv1eDb0MEgF93GpLXlucZ
360,1NDxZ7cFAo481dtYWdrUnR
361,7mnGQesk1TzQLzQ9bYWZPR
362,3bfX8g4j3hRu8azX2OYxpc
363,6bS7DqTuzrpkluB7boWmw2
364,4BJhs8XWyr2M4MLvS4CSKx
365,3qaSqrrevBrb84xl5JlptU
366,0sX4OzAtIubFc4s9y5KrB7
367,2cGxRwrMyEAp8dEbuZaVv6
368,3L6iaRFenZmnkepJ4Ey9Cm
369,46bkeaB7DA45q7PdKWLFkR
370,3Agiwcd2KjBOG2MkckhC3i
371,3TW48DvQ7ChwY1Yy1tkMaP
372,57MflfPN3ObQQAQtPUp0WF
373,071BtONQBIq4SkvO0okS4k
374,4w7RuuQAVP0JXlAom3z1aC
375,7CVYxHq1L0Z4G84jTDS6Jl
376,5AMgAzHqrO8cUGoYGr1CHb
377,3BFKNc9YZltqCYn7eSST4h
378,2SwLswBtbxloI4uMcfkfLf
379,0JbVh3zDHYgVb1QxoNG0hu
